[2025-08-31 11:37:31.335] [info]  DiscordSplash.signalReady
[2025-08-31 11:37:38.478] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-31 11:37:38.478] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-31 11:37:38.479] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-31 11:37:38.482] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-31 11:37:38.482] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-31 11:37:38.483] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-31 11:37:38.484] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-31 11:37:38.485] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-31 11:37:38.485] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-31 11:37:38.486] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-31 11:37:38.486] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-31 11:37:38.486] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-31 11:37:38.486] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-31 11:37:38.487] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-31 11:37:38.487] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-31 11:37:38.487] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-31 11:37:38.487] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-31 11:37:39.335] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-31 11:37:40.138] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-31 11:37:40.139] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-31 11:37:40.179] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-31 11:37:40.180] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-31 11:37:40.335] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-31 11:37:40.726] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
